,age,gender,degree,extra_degree,nationality,married,experience,qualified
0,59.0,0.0,0.0,0.0,0.0,1.0,40.0,1
1,27.0,1.0,1.0,1.0,0.0,1.0,4.0,1
2,44.0,0.0,0.0,0.0,0.0,1.0,17.0,0
3,37.0,1.0,0.0,0.0,1.0,0.0,12.0,0
4,59.0,1.0,1.0,0.0,0.0,1.0,6.0,0
5,33.0,0.0,1.0,1.0,1.0,0.0,7.0,1
6,42.0,0.0,1.0,1.0,0.0,1.0,17.0,1
7,40.0,0.0,0.0,0.0,0.0,0.0,15.0,0
8,29.0,1.0,1.0,0.0,0.0,0.0,5.0,0
9,31.0,1.0,1.0,0.0,0.0,1.0,5.0,0
10,32.0,0.0,1.0,1.0,1.0,1.0,5.0,1
11,51.0,1.0,1.0,0.0,0.0,0.0,30.0,1
12,54.0,1.0,1.0,1.0,1.0,1.0,27.0,1
13,59.0,1.0,0.0,0.0,0.0,1.0,21.0,0
14,33.0,0.0,0.0,0.0,0.0,0.0,15.0,0
15,56.0,0.0,1.0,0.0,0.0,0.0,11.0,0
16,22.0,0.0,0.0,0.0,1.0,0.0,4.0,0
17,63.0,1.0,1.0,1.0,0.0,1.0,39.0,1
18,24.0,0.0,1.0,0.0,0.0,0.0,2.0,0
19,50.0,0.0,1.0,1.0,0.0,0.0,6.0,0
20,22.0,1.0,0.0,0.0,1.0,0.0,4.0,0
21,62.0,1.0,0.0,0.0,0.0,1.0,22.0,0
22,36.0,1.0,1.0,1.0,1.0,1.0,9.0,1
23,58.0,0.0,0.0,0.0,0.0,0.0,35.0,0
24,28.0,1.0,1.0,1.0,0.0,1.0,5.0,1
25,26.0,0.0,1.0,1.0,1.0,0.0,3.0,1
26,34.0,0.0,1.0,1.0,0.0,0.0,10.0,1
27,34.0,0.0,1.0,1.0,0.0,0.0,3.0,1
28,42.0,0.0,0.0,0.0,1.0,1.0,23.0,1
29,40.0,1.0,0.0,0.0,1.0,1.0,15.0,0
30,38.0,1.0,0.0,0.0,0.0,0.0,1.0,0
31,20.0,1.0,1.0,0.0,1.0,0.0,0.0,0
32,39.0,1.0,1.0,0.0,1.0,0.0,9.0,0
33,30.0,1.0,1.0,1.0,0.0,0.0,6.0,1
34,35.0,0.0,1.0,0.0,1.0,0.0,14.0,1
35,28.0,1.0,1.0,1.0,0.0,0.0,4.0,1
